2858,1252,904,260,923,858,913,527,1247,593
2858,2324,1234,260,904,1208,527,1247,1148,1198
2858,904,2324,260,923,1198,1252,527,1247,318
2858,1252,260,913,858,2019,1198,1267,318,923
2858,2324,1234,1208,260,1148,1358,1247,527,904
2858,2324,904,3147,364,923,1148,260,1247,1278
480,364,2000,1374,1101,110,260,349,2762,1198
2858,2324,904,923,260,1148,1278,1198,1358,1247
2858,2324,904,260,923,1198,3147,1196,1148,318
260,2324,1954,1234,2858,1148,1208,1358,1196,904
2987,1954,25,3527,3253,3702,3176,1287,2640,590
2858,2324,260,1358,318,1089,527,2692,593,47
2987,3253,3527,1954,3176,2628,2640,1573,3702,25
2987,3253,1954,3527,2640,3176,3702,1573,2407,2042
25,3176,3093,3685,2987,2694,1096,2976,367,446
2042,2858,3825,1917,608,3173,3225,858,3453,1541
2858,2324,1234,260,904,1196,1208,1148,1198,1954
260,1954,1287,1222,2947,1196,2324,3253,1242,2858
260,1954,3253,1196,1287,3702,1198,2947,2640,2858
260,2324,2858,904,1198,1196,923,318,2762,3147
1917,2699,2042,3825,2701,3173,3489,3225,3453,1541
2987,1954,25,1287,260,3253,3702,2858,2640,2947
2987,1954,25,3253,3527,1287,3702,3176,2640,2947
2858,2324,904,260,923,1198,1247,1148,527,1208
260,2324,904,2858,3147,1198,923,1196,1278,1148
2858,2324,1234,1208,1148,1247,904,260,1358,1233
2858,1252,2019,1267,260,3435,913,910,858,969
858,3435,2019,260,1267,2858,922,1256,1221,1953
2858,364,2701,480,2324,3147,260,904,318,1101
2858,904,260,2324,1198,923,318,1196,1252,527
2858,1252,913,923,260,904,969,1247,1198,2019
2858,2324,904,923,260,1247,1148,1198,1208,1278
480,364,1954,3753,1101,260,349,3256,595,1196
2858,2324,904,923,260,1148,1278,1198,1358,3147
3435,1219,1256,922,2019,1945,2186,858,1267,1953
260,2324,904,2858,3147,1148,1198,1358,1196,1278
2987,1954,1287,25,3253,590,2947,3702,2640,480
2987,1954,3253,3702,2640,3527,1287,2947,2407,590
2858,25,527,1234,260,1208,858,2324,608,318
2987,1954,3253,2640,3527,3702,1287,2407,588,1917
2987,1954,3253,3527,3702,590,1287,2947,1196,2640
260,1954,3253,3702,1196,2947,1287,2987,2640,2944
2858,2324,260,527,1198,904,318,1196,593,2028
2858,25,1234,527,2324,1208,260,1148,858,1247
2987,1954,1287,3253,25,3702,2640,2947,2407,3527
2701,1562,160,3354,3593,173,153,2450,1556,2642
2858,904,1252,260,923,1198,913,318,2324,1196
260,1954,1287,2858,1222,2947,1196,2324,904,1198
260,364,2324,2858,904,3147,1198,923,1252,318
260,1954,2324,1234,1287,1148,1208,2858,1247,904
2858,2324,904,260,923,318,3147,1198,1247,527
2858,364,2324,904,260,3147,2701,318,923,1247
2858,1252,904,1247,923,2324,260,1234,913,1208
480,2694,2976,1721,367,2701,592,2,377,231
2701,2699,2042,1917,1562,3593,160,3354,173,3825
25,2987,2694,3527,2976,3176,367,480,2,3253
2987,1954,25,3253,3527,1287,3702,3176,2640,2947
260,1954,2324,1234,2858,1208,1148,1358,1196,904
2694,2987,2976,367,2,231,3527,2003,25,2617
2694,3176,2042,2976,1917,367,3825,25,2,3173
2987,1954,1287,25,3253,3702,2640,3527,2947,2407
2987,1954,3253,25,1287,3702,2640,3527,2947,2407
2858,25,1234,527,2324,1208,260,1148,1233,608
2858,2324,260,1198,318,2762,904,1196,2028,527
480,364,1101,2000,349,3256,1374,161,1127,2115
260,1954,1196,2947,2858,1198,1222,2028,318,1287
3435,858,2019,1256,922,1267,1945,2186,1953,910
2858,25,2324,1234,527,1358,1148,260,1208,1233
2858,904,2324,923,1252,1247,1278,1148,260,1358
260,1954,1196,3253,2858,1287,1198,2028,2947,527
480,364,1954,260,3753,1101,2000,349,595,1196
1917,2699,2701,2042,2683,3825,3173,2012,1562,3593
2987,1954,3253,3527,3702,1287,260,2947,2640,1196
2858,1252,904,923,260,913,1247,969,858,1250
480,364,2701,1101,349,3256,161,2000,2353,2115
2858,2324,904,260,1148,1198,1208,527,923,1196
2987,1954,1287,3527,3253,590,3702,25,588,2947
2987,3253,25,2640,2042,2694,3702,3527,2976,3825
3435,1219,1256,2019,922,1945,858,2186,1267,1953
480,364,1101,260,349,2858,3256,2324,1198,3147
2858,1252,913,923,2019,260,904,1267,969,858
260,364,2858,2324,1198,3147,480,1196,3753,318
