user_id,item_id,prediction
1.0,593.0,0.011913442604030643
1.0,1198.0,0.011691559131089796
1.0,1196.0,0.011685389357678528
1.0,2571.0,0.01088875718630129
1.0,2762.0,0.010668873210106343
1.0,1617.0,0.010209490414218661
1.0,50.0,0.01018729809407329
1.0,1197.0,0.010055906215895185
1.0,912.0,0.009917900961891617
1.0,1221.0,0.009255112083543633
2.0,1198.0,0.12772406209150627
2.0,1196.0,0.1244303549504001
2.0,593.0,0.11962351662278242
2.0,2762.0,0.1135874058010703
2.0,2571.0,0.10922626988710527
2.0,50.0,0.10050321015575844
2.0,1197.0,0.0991795978266138
2.0,1617.0,0.09172266141130257
2.0,110.0,0.08935632124703548
2.0,912.0,0.07793670080947618
3.0,1198.0,0.07131139984151459
3.0,1196.0,0.06919193337989969
3.0,593.0,0.06844393495568298
3.0,2762.0,0.06798482455033915
3.0,2571.0,0.0663046915082056
3.0,1197.0,0.05690511929164015
3.0,50.0,0.055591440959553824
3.0,110.0,0.05295118758548239
3.0,1617.0,0.0528600972812045
3.0,912.0,0.046743826255057484
4.0,1198.0,0.06146031140551178
4.0,2762.0,0.0586532990411728
4.0,1196.0,0.05860028108945827
4.0,593.0,0.05681028462889506
4.0,2571.0,0.05618055322828604
4.0,110.0,0.05047033106329765
4.0,1197.0,0.04808361737920175
4.0,912.0,0.0477985337947669
4.0,1221.0,0.047012992366967946
4.0,1617.0,0.0450827259095862
5.0,1198.0,0.16060355608766014
5.0,593.0,0.15826861221093963
5.0,1196.0,0.15289209797402648
5.0,2762.0,0.14774138198785777
5.0,2571.0,0.14038441515404584
5.0,50.0,0.1340569170194823
5.0,1197.0,0.1265724015401121
5.0,1617.0,0.12157976866592776
5.0,110.0,0.11211887023233355
5.0,912.0,0.09938769941765786
6.0,1198.0,0.27462422704559597
6.0,2762.0,0.2692852790059577
6.0,1196.0,0.26226120944323916
6.0,2571.0,0.2574732382091003
6.0,593.0,0.25545504465003577
6.0,110.0,0.2411486948166242
6.0,1197.0,0.21161194239237324
6.0,50.0,0.2000147610887084
6.0,589.0,0.1945643757468951
6.0,1617.0,0.18741775198823782
7.0,2000.0,0.26176608561548037
7.0,1374.0,0.2043673586413327
7.0,110.0,0.20413963823946935
7.0,2762.0,0.18490937537025892
7.0,1198.0,0.18385544841962137
7.0,1196.0,0.1716062218665218
7.0,2571.0,0.17069049924818344
7.0,593.0,0.15766023912730653
7.0,2406.0,0.15638887849736113
7.0,589.0,0.15487856327024907
8.0,1198.0,0.4604481113524929
8.0,1196.0,0.4513288670033799
