UserId,ItemId
1,1002
1,21659
1,630
1,11015
1,21865
1,3144
1,17055
1,685
1,4232
1,20182
2,1002
2,21659
2,630
2,11015
2,21865
2,3144
2,17055
2,685
2,4232
2,20182
3,959
3,21659
3,630
3,11015
3,21865
3,3144
3,17055
3,685
3,4232
3,20182
4,959
4,20264
4,630
4,11015
4,21865
4,3144
4,17055
4,685
4,4232
4,20182
5,959
5,21659
5,630
5,11015
5,21865
5,3144
5,17055
5,685
5,4232
5,20182
6,959
6,21659
6,630
6,11015
6,21865
6,3144
6,17055
6,685
6,4232
6,20182
7,1002
7,21659
7,630
7,11015
7,21865
7,3144
7,17055
7,685
7,4232
7,20182
8,1002
8,21659
8,630
8,11015
8,21865
8,3144
8,17055
8,685
8,4232
8,20182
9,959
9,20264
9,607
9,10949
9,21865
9,3144
9,17055
9,685
9,4232
9,20182
10,1002
10,21659
10,630
10,11015
10,21865
10,3144
10,17055
10,685
10,4232
10,20182
11,959
11,21659
11,630
11,11015
11,21865
11,3144
11,17055
11,685
11,4232
11,20182
12,1002
12,21659
12,630
12,11015
12,21865
12,3144
12,17055
12,685
12,4232
12,20182
13,1002
13,21659
13,630
13,11015
13,21865
13,3144
13,17055
13,685
13,4232
13,20182
14,959
14,20264
14,607
14,10949
14,21597
14,3125
14,14106
14,683
14,4124
14,20182
15,1002
15,21659
15,630
15,11015
15,21865
15,3144
15,17055
15,685
15,4232
15,20182
16,1002
16,21659
16,630
16,11015
16,21865
16,3144
16,17055
16,685
16,4232
16,20182
17,1002
17,21659
17,630
17,11015
17,21865
17,3144
17,17055
17,685
17,4232
17,20182
18,1002
18,21659
18,630
18,11015
18,21865
18,3144
18,17055
18,685
18,4232
18,20182
19,959
19,21659
19,630
19,11015
19,21865
19,3144
19,17055
19,685
19,4232
19,20182
20,959
20,20264
20,607
20,10949
20,21597
20,3125
20,17055
20,685
20,4232
20,20182
21,959
21,21659
21,630
21,11015
21,21865
21,3144
21,17055
21,685
21,4232
21,20182
22,959
22,20264
22,607
22,10949
22,21597
22,3125
22,17055
22,685
22,4232
22,20182
23,959
23,20264
23,630
23,11015
23,21865
23,3144
23,17055
23,685
23,4232
23,20182
24,1002
24,21659
24,630
24,11015
24,21865
24,3144
24,17055
24,685
24,4232
24,20182
25,1002
25,21659
25,630
25,11015
25,21865
25,3144
25,17055
25,685
25,4232
25,20182
26,959
26,20264
26,607
26,10949
26,21597
26,3125
26,14106
26,685
26,4232
26,20182
27,1002
27,21659
27,630
27,11015
27,21865
27,3144
27,17055
27,685
27,4232
27,20182
28,959
28,20264
28,630
28,11015
28,21865
28,3144
28,17055
28,685
28,4232
28,20182
29,959
29,20264
29,630
29,11015
29,21865
29,3144
29,17055
29,685
29,4232
29,20182
30,959
30,21659
30,630
30,11015
30,21865
30,3144
30,17055
30,685
30,4232
30,20182
31,959
31,20264
31,630
31,11015
31,21865
31,3144
31,17055
31,685
31,4232
31,20182
32,959
32,20264
32,630
32,11015
32,21865
32,3144
32,17055
32,685
32,4232
32,20182
33,959
33,20264
33,630
33,11015
33,21865
33,3144
33,17055
33,685
33,4232
33,20182
34,959
34,20264
34,630
34,11015
34,21865
34,3144
34,17055
34,685
34,4232
34,20182
35,959
35,20264
35,607
35,10949
35,21597
35,3125
35,14106
35,685
35,4232
35,20182
36,1002
36,21659
36,630
36,11015
36,21865
36,3144
36,17055
36,685
36,4232
36,20182
37,959
37,21659
37,630
37,11015
37,21865
37,3144
37,17055
37,685
37,4232
37,20182
38,959
38,21659
38,630
38,11015
38,21865
38,3144
38,17055
38,685
38,4232
38,20182
39,959
39,20264
39,630
39,11015
39,21865
39,3144
39,17055
39,685
39,4232
39,20182
40,959
40,20264
40,630
40,11015
40,21865
40,3144
40,17055
40,685
40,4232
40,20182
41,959
41,20264
41,630
41,11015
41,21865
41,3144
41,17055
41,685
41,4232
41,20182
42,1002
42,21659
42,630
42,11015
42,21865
42,3144
42,17055
42,685
42,4232
42,20182
43,959
43,21659
43,630
43,11015
43,21865
43,3144
43,17055
43,685
43,4232
43,20182
44,959
44,20264
44,630
44,11015
44,21865
44,3144
44,17055
44,685
44,4232
44,20182
45,959
45,21659
45,630
45,11015
45,21865
45,3144
45,17055
45,685
45,4232
45,20182
46,1002
46,21659
46,630
46,11015
46,21865
46,3144
46,17055
46,685
46,4232
46,20182
47,959
47,21659
47,630
47,11015
47,21865
47,3144
47,17055
47,685
47,4232
47,20182
48,959
48,20264
48,607
48,10949
48,21597
48,3125
48,17055
48,685
48,4232
48,20182
49,959
49,21659
49,630
49,11015
49,21865
49,3144
49,17055
49,685
49,4232
49,20182
50,959
50,21659
50,630
50,11015
50,21865
50,3144
50,17055
50,685
50,4232
50,20182
51,959
51,20264
51,630
51,11015
51,21865
51,3144
51,17055
51,685
51,4232
51,20182
52,959
52,20264
52,630
52,11015
52,21865
52,3144
52,17055
52,685
52,4232
52,20182
53,959
53,20264
53,607
53,10949
53,21865
53,3144
53,17055
53,685
53,4232
53,20182
54,1002
54,21659
54,630
54,11015
54,21865
54,3144
54,17055
54,685
54,4232
54,20182
55,959
55,20264
55,630
55,11015
55,21865
55,3144
55,17055
55,685
55,4232
55,20182
56,959
56,20264
56,607
56,10949
56,21597
56,3144
56,17055
56,685
56,4232
56,20182
57,959
57,21659
57,630
57,11015
57,21865
57,3144
57,17055
57,685
57,4232
57,20182
58,959
58,20264
58,630
58,11015
58,21865
58,3144
58,17055
58,685
58,4232
58,20182
59,959
59,21659
59,630
59,11015
59,21865
59,3144
59,17055
59,685
59,4232
59,20182
60,959
60,21659
60,630
60,11015
60,21865
60,3144
60,17055
60,685
60,4232
60,20182
61,959
61,20264
61,607
61,10949
61,21597
61,3125
61,14106
61,683
61,4124
61,20182
62,959
62,20264
62,630
62,11015
62,21865
62,3144
62,17055
62,685
62,4232
62,20182
63,959
63,20264
63,607
63,10949
63,21597
63,3125
63,14106
63,683
63,4124
63,20182
64,959
64,20264
64,630
64,11015
64,21865
64,3144
64,17055
64,685
64,4232
64,20182
65,959
65,20264
65,607
65,10949
65,21597
65,3125
65,17055
65,685
65,4232
65,20182
66,959
66,21659
66,630
66,11015
66,21865
66,3144
66,17055
66,685
66,4232
66,20182
67,959
67,21659
67,630
67,11015
67,21865
67,3144
67,17055
67,685
67,4232
67,20182
