8,15,25,7,4,36,51,34,87,94
2,7,4,8,20,25,15,6,1,48
2,8,25,10,15,32,7,31,9,41
20,6,4,8,48,45,33,25,15,84
20,6,48,45,33,84,67,22,135,19
2,7,10,4,8,20,25,117,19,1
8,15,25,36,51,34,87,11,94,99
2772,3497,8715,2586,4439,9188,14423,17135,6834,7282
7,4,1,112,40,31,41,76,39,58
20,6,48,45,33,4,84,67,22,135
31,41,40,39,76,58,32,55,8,133
8,20,15,4,25,7,6,48,45,36
31,41,40,39,58,76,55,32,133,3
2,10,117,1949,312,374,943,1144,196,559
7,4,8,20,15,25,2,48,6,31
7,4,1,8,112,2,25,15,75,38
8,15,25,36,51,11,34,87,2,94
8,15,25,20,4,36,7,51,2,87
7,2,15,25,8,4,1,31,40,32
40,31,41,39,58,76,55,133,146,5
20,8,4,2,25,15,7,31,41,40
2,31,41,133,40,20,39,146,76,165
31,41,40,39,58,76,55,133,146,269
8,15,25,36,51,87,4,34,11,94
8,15,25,36,51,34,11,87,7,94
8,15,25,7,4,31,20,36,40,41
7,4,2,20,6,8,48,25,45,33
20,4,2,7,6,48,31,8,41,40
20,8,6,15,25,4,48,45,33,83
2,10,7,8,32,25,9,31,3,117
2,20,48,6,45,8,31,25,33,83
2,10,20,7,4,19,48,117,6,70
20,8,4,7,15,25,6,2,48,45
20,6,48,45,33,84,67,135,22,177
31,41,40,39,58,76,55,32,133,3
7,2,8,4,15,20,25,6,48,36
31,41,40,39,76,58,32,55,133,2
7,8,15,4,25,36,51,34,87,1
20,31,41,40,39,48,8,6,76,58
20,8,4,6,2,48,25,15,45,7
2,7,4,31,40,41,39,32,76,58
20,8,4,6,15,25,48,7,45,33
8,15,25,20,36,6,4,45,51,48
20,2,8,15,25,6,48,45,33,31
20,6,48,45,4,33,84,67,135,8
20,6,48,45,84,33,67,135,177,4
7,8,4,15,25,36,20,51,75,87
2,10,20,8,25,19,4,6,48,45
4,7,20,6,8,48,25,45,33,15
20,31,41,40,39,76,32,58,4,48
20,6,48,4,45,33,84,67,135,22
31,8,41,40,15,39,25,32,76,58
31,41,40,39,58,76,55,32,133,3
7,4,2,20,1,6,8,48,25,45
8,15,25,36,20,4,51,87,34,7
2,20,6,48,8,45,25,19,33,67
8,15,2,25,7,31,4,40,41,32
8,15,25,7,36,4,51,34,87,94
8,15,25,36,20,4,51,7,87,34
2,31,41,40,39,58,76,55,10,133
40,31,41,39,58,76,15,55,133,32
20,4,7,6,48,45,33,84,22,67
20,6,48,45,33,84,67,4,22,19
8,15,25,20,4,7,36,2,6,51
31,41,40,39,58,76,32,55,133,3
8,15,25,36,7,4,51,87,34,11
31,41,40,39,58,76,7,55,20,133
20,6,4,48,45,33,84,67,22,135
7,4,1,8,112,25,15,2,6,20
20,6,48,45,33,84,67,22,19,135
31,41,40,39,76,58,32,55,133,8
20,6,8,4,48,45,2,25,33,15
7,4,1,8,112,2,25,15,38,54
2,7,4,8,25,15,20,32,31,10
20,6,4,48,45,33,7,84,67,22
20,31,41,40,39,8,4,32,2,48
2,7,4,20,6,48,8,45,19,10
8,15,7,25,4,36,20,51,87,75
20,6,48,4,45,33,31,84,83,41
20,2,6,4,48,33,45,31,7,41
31,41,40,39,58,76,55,32,133,3
31,41,40,39,58,76,55,32,133,3
2,20,4,8,6,7,10,48,25,45
20,6,4,48,45,7,33,8,84,67
20,48,6,33,45,84,41,134,31,135
8,7,15,25,4,31,20,40,41,39
8,15,25,36,51,11,34,87,94,99
8,15,25,4,20,7,6,36,48,75
7,4,8,2,20,25,15,48,6,1
8,15,25,20,4,7,2,36,6,48
2,7,4,20,6,8,48,25,45,15
20,6,48,4,45,33,84,67,8,22
20,8,6,15,4,25,48,2,45,33
8,15,25,20,36,6,45,51,87,11
7,4,8,1,15,25,2,75,112,36
7,4,8,20,15,6,25,48,75,1
31,41,40,15,39,58,76,55,133,32
8,15,25,36,51,34,7,87,94,99
7,4,8,15,25,31,40,2,41,32
7,4,8,1,15,25,20,6,75,112
7,4,8,1,20,2,25,15,48,6
20,8,4,15,25,6,48,7,45,33
2,8,7,25,4,20,15,32,48,31
7,4,1,8,2,25,15,20,112,32
8,15,20,25,4,7,6,48,36,45
7,4,1,112,8,38,54,15,25,75
31,20,41,40,39,8,32,76,25,58
20,6,48,4,45,33,84,67,135,8
8,20,15,4,25,7,6,48,45,33
31,20,41,40,39,4,7,76,58,32
2,20,6,4,48,45,8,33,19,7
8,15,7,4,25,20,36,6,75,51
8,15,2,7,25,4,36,51,34,87
2,7,8,4,15,25,20,31,32,36
8,15,25,4,20,36,7,51,87,75
8,15,25,36,51,34,87,94,11,99
8,20,15,25,6,2,4,48,45,36
20,4,7,6,2,48,8,45,33,84
8,15,25,36,4,51,87,34,20,7
8,15,25,20,36,4,51,87,75,94
8,15,25,36,51,34,11,87,94,99
2,7,8,4,20,15,25,48,6,45
20,6,48,45,33,84,67,135,22,19
20,8,4,6,2,48,25,15,7,45
8,15,25,36,51,11,34,87,94,99
8,15,4,7,25,20,6,36,75,48
7,4,31,41,40,20,39,32,8,76
8,15,25,36,51,11,34,87,94,99
2,31,8,41,40,20,39,25,32,15
15,8,25,36,51,34,11,16,94,87
2,20,8,31,4,41,25,40,48,15
2,31,41,40,8,39,15,25,20,32
31,41,40,39,58,76,55,32,133,3
20,4,6,48,7,8,45,33,2,84
20,6,4,48,45,33,84,67,7,22
31,41,40,39,58,76,55,32,133,3
2,20,10,48,6,19,45,8,25,83
7,4,1,8,15,25,2,112,75,36
2,20,4,7,6,48,8,45,33,25
20,2,6,4,8,48,45,7,25,33
2,7,4,8,20,25,15,6,48,75
20,4,8,7,15,25,6,48,45,33
20,6,48,4,45,33,8,84,67,22
4,7,20,8,6,25,15,48,2,45
7,2,4,8,20,25,6,15,48,45
8,20,15,25,4,6,7,48,45,36
20,6,48,45,33,4,84,67,135,22
20,6,48,4,45,33,8,84,67,22
20,6,48,4,8,45,33,84,67,25
8,15,25,4,7,36,20,51,87,2
8,15,25,7,36,4,51,34,87,2
4,7,20,8,6,48,25,15,45,2
8,15,25,36,11,51,34,87,94,16
15,8,25,36,94,34,51,40,31,41
20,6,48,33,4,45,84,22,135,67
2,20,8,25,6,4,15,48,45,19
31,8,41,15,40,39,25,76,58,32
2,20,6,4,48,7,45,33,84,22
20,6,48,45,33,84,67,22,135,134
2,20,4,7,6,48,8,45,33,25
31,41,40,39,58,76,55,32,133,3
8,15,25,36,4,51,87,34,7,11
8,15,25,36,87,75,51,99,108,44
20,8,4,6,15,25,7,48,45,33
7,4,8,2,15,20,25,1,6,48
2,8,15,25,31,41,40,39,32,36
2,20,6,4,48,45,19,33,7,8
8,15,25,2,7,36,31,51,34,40
