25,15,8,36,87,94,99,51,75,81
7,20,25,48,75,112,8,84,45,87
25,146,133,32,165,117,31,76,15,94
20,48,45,84,33,67,83,135,115,134
20,48,45,84,135,67,33,177,134,115
10,7,117,20,25,146,2,112,379,170
15,25,8,36,87,94,99,51,75,81
17135,14423,18114,16238,21491,21792,13591,17518,15251,21330
7,112,76,820,267,254,269,909,133,13540
20,48,84,45,135,67,33,177,134,115
31,41,40,39,133,76,58,146,55,165
20,25,15,48,75,8,87,45,67,84
31,41,40,39,58,76,55,133,146,32
1949,6348,13677,21751,8353,16962,16961,13109,21226,2001
20,25,48,133,146,83,75,31,45,76
7,112,4,75,25,54,38,8,267,87
15,25,8,36,87,51,94,99,34,81
25,15,8,87,36,99,94,20,75,51
112,133,146,7,76,269,254,79,267,305
133,811,1132,269,7070,7731,4443,5499,11694,3261
20,133,31,48,25,146,41,40,76,83
13677,8715,2953,21751,21491,16961,21144,14841,6348,4443
76,41,58,40,31,133,269,55,39,146
15,25,8,36,87,99,94,51,75,81
15,25,8,36,87,94,51,99,34,81
25,15,133,31,94,99,146,87,8,36
20,7,48,45,84,75,33,115,25,83
20,48,133,31,146,41,83,40,76,45
20,48,25,45,84,83,33,67,15,75
10,117,146,32,133,165,25,31,76,269
20,48,146,133,83,165,45,134,269,170
10,20,117,170,48,146,196,379,70,559
20,25,48,45,15,75,84,8,67,83
20,48,84,135,177,45,67,417,134,199
31,41,40,39,76,58,133,55,146,32
25,20,15,75,48,8,87,99,94,45
31,41,40,39,133,76,58,146,55,32
15,25,8,7,36,87,51,94,99,75
20,31,41,40,133,48,76,39,146,58
20,48,45,25,84,67,33,75,83,135
31,40,41,76,133,39,146,58,32,55
20,48,25,45,84,67,33,75,15,135
25,15,20,8,36,87,99,94,75,51
20,25,48,45,15,83,133,67,84,146
20,48,84,135,45,67,177,199,417,134
20,48,135,84,417,177,278,1306,1999,1998
25,15,8,87,36,75,99,94,51,7
20,10,117,25,48,45,170,19,83,75
20,48,45,84,33,25,83,67,75,115
31,41,40,133,20,76,39,146,58,55
20,48,84,135,45,67,177,134,33,417
31,41,40,133,76,39,58,146,55,25
31,41,40,39,76,133,58,55,146,32
7,20,48,112,75,84,45,25,115,33
15,25,8,36,87,99,94,51,75,20
20,48,45,84,67,134,135,170,83,177
25,15,133,31,146,41,40,76,94,99
15,25,8,36,87,94,99,51,75,81
25,15,8,36,94,87,99,75,51,81
76,133,269,146,58,41,254,31,40,55
133,76,269,58,146,40,41,254,811,55
20,48,45,84,33,67,135,115,83,134
20,48,45,84,33,67,135,134,83,177
25,15,8,20,87,99,36,75,94,51
31,41,40,39,76,133,58,55,146,32
15,25,8,36,87,51,94,99,75,81
31,41,40,39,76,58,133,55,146,269
20,48,84,45,135,67,177,33,134,115
7,112,4,75,25,8,38,54,20,15
20,48,45,84,135,67,33,177,134,115
31,41,40,133,39,76,58,146,55,165
20,48,45,84,67,135,33,25,177,115
7,112,4,75,54,38,25,267,8,87
25,146,133,75,15,32,20,165,8,83
20,48,84,45,135,67,33,177,115,134
31,20,41,133,40,76,146,39,58,48
20,48,7,84,45,67,115,75,33,135
25,15,8,36,87,75,99,94,51,81
20,48,45,33,84,83,67,135,134,115
20,48,45,33,83,31,84,133,146,41
31,41,40,39,76,58,133,55,146,32
31,41,40,39,76,58,133,55,146,32
20,48,45,25,83,146,84,115,165,170
20,48,45,84,67,33,135,115,177,134
20,10820,21792,2302,8111,6315,8390,3851,3158,1999
25,133,31,40,41,15,146,76,39,58
15,25,8,36,87,94,51,99,81,34
25,15,20,8,75,87,48,99,36,94
7,20,25,48,75,112,146,133,83,115
25,15,20,8,75,87,99,94,48,36
20,48,45,84,25,75,67,33,135,115
20,48,45,84,67,135,33,177,134,115
20,48,25,45,84,67,15,75,33,8
15,25,20,8,36,99,94,87,75,51
7,25,15,112,8,75,87,51,36,99
7,20,25,48,75,15,84,8,45,87
133,76,41,40,58,31,146,39,269,55
15,25,8,36,94,87,99,51,81,34
7,25,31,40,133,76,41,15,146,32
7,25,112,75,15,20,8,48,87,84
7,112,20,48,75,25,146,133,83,115
20,25,48,15,45,75,8,84,67,87
